FID,PCON19CD,PCON19NM,EER19CD,EER19NM
490,N06000007,Fermanagh and South Tyrone,N07000001,Northern Ireland
491,N06000008,Foyle,N07000001,Northern Ireland
492,N06000009,Lagan Valley,N07000001,Northern Ireland
493,N06000010,Mid Ulster,N07000001,Northern Ireland
494,N06000011,Newry and Armagh,N07000001,Northern Ireland
495,N06000012,North Antrim,N07000001,Northern Ireland
496,N06000013,North Down,N07000001,Northern Ireland
497,N06000014,South Antrim,N07000001,Northern Ireland
498,N06000015,South Down,N07000001,Northern Ireland
499,N06000016,Strangford,N07000001,Northern Ireland
500,N06000017,Upper Bann,N07000001,Northern Ireland
501,N06000018,West Tyrone,N07000001,Northern Ireland
502,S14000050,Ochil and South Perthshire,S15000001,Scotland
503,S14000001,Aberdeen North,S15000001,Scotland
504,S14000002,Aberdeen South,S15000001,Scotland
505,S14000003,Airdrie and Shotts,S15000001,Scotland
506,S14000004,Angus,S15000001,Scotland
507,S14000005,Argyll and Bute,S15000001,Scotland
508,S14000006,"Ayr, Carrick and Cumnock",S15000001,Scotland
509,S14000007,Banff and Buchan,S15000001,Scotland
510,S14000008,"Berwickshire, Roxburgh and Selkirk",S15000001,Scotland
511,S14000009,"Caithness, Sutherland and Easter Ross",S15000001,Scotland
512,S14000010,Central Ayrshire,S15000001,Scotland
513,S14000011,"Coatbridge, Chryston and Bellshill",S15000001,Scotland
514,S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",S15000001,Scotland
515,S14000013,Dumfries and Galloway,S15000001,Scotland
516,S14000014,"Dumfriesshire, Clydesdale and Tweeddale",S15000001,Scotland
517,S14000015,Dundee East,S15000001,Scotland
518,S14000016,Dundee West,S15000001,Scotland
519,S14000017,Dunfermline and West Fife,S15000001,Scotland
520,S14000018,East Dunbartonshire,S15000001,Scotland
521,S14000019,"East Kilbride, Strathaven and Lesmahagow",S15000001,Scotland
522,S14000020,East Lothian,S15000001,Scotland
523,S14000021,East Renfrewshire,S15000001,Scotland
524,S14000022,Edinburgh East,S15000001,Scotland
525,S14000023,Edinburgh North and Leith,S15000001,Scotland
526,S14000024,Edinburgh South,S15000001,Scotland
527,S14000025,Edinburgh South West,S15000001,Scotland
528,S14000026,Edinburgh West,S15000001,Scotland
529,S14000027,Na h-Eileanan an Iar,S15000001,Scotland
530,S14000028,Falkirk,S15000001,Scotland
531,S14000029,Glasgow Central,S15000001,Scotland
532,S14000030,Glasgow East,S15000001,Scotland
533,S14000031,Glasgow North,S15000001,Scotland
534,S14000032,Glasgow North East,S15000001,Scotland
535,S14000033,Glasgow North West,S15000001,Scotland
536,S14000034,Glasgow South,S15000001,Scotland
537,S14000035,Glasgow South West,S15000001,Scotland
538,S14000036,Glenrothes,S15000001,Scotland
539,S14000037,Gordon,S15000001,Scotland
540,S14000038,Inverclyde,S15000001,Scotland
541,S14000039,"Inverness, Nairn, Badenoch and Strathspey",S15000001,Scotland
542,S14000040,Kilmarnock and Loudoun,S15000001,Scotland
543,S14000041,Kirkcaldy and Cowdenbeath,S15000001,Scotland
544,S14000042,Lanark and Hamilton East,S15000001,Scotland
545,S14000043,Linlithgow and East Falkirk,S15000001,Scotland
546,S14000044,Livingston,S15000001,Scotland
547,S14000045,Midlothian,S15000001,Scotland
548,S14000046,Moray,S15000001,Scotland
549,S14000047,Motherwell and Wishaw,S15000001,Scotland
550,S14000048,North Ayrshire and Arran,S15000001,Scotland
